category,product_name,quantity,date
airlines,passenger,112,1949-01-01
airlines,passenger,118,1949-02-01
airlines,passenger,132,1949-03-01
airlines,passenger,129,1949-04-01
airlines,passenger,121,1949-05-01
airlines,passenger,135,1949-06-01
airlines,passenger,148,1949-07-01
airlines,passenger,148,1949-08-01
airlines,passenger,136,1949-09-01
airlines,passenger,119,1949-10-01
airlines,passenger,104,1949-11-01
airlines,passenger,118,1949-12-01
airlines,passenger,115,1950-01-01
airlines,passenger,126,1950-02-01
airlines,passenger,141,1950-03-01
airlines,passenger,135,1950-04-01
airlines,passenger,125,1950-05-01
airlines,passenger,149,1950-06-01
airlines,passenger,170,1950-07-01
airlines,passenger,170,1950-08-01
airlines,passenger,158,1950-09-01
airlines,passenger,133,1950-10-01
airlines,passenger,114,1950-11-01
airlines,passenger,140,1950-12-01
airlines,passenger,145,1951-01-01
airlines,passenger,150,1951-02-01
airlines,passenger,178,1951-03-01
airlines,passenger,163,1951-04-01
airlines,passenger,172,1951-05-01
airlines,passenger,178,1951-06-01
airlines,passenger,199,1951-07-01
airlines,passenger,199,1951-08-01
airlines,passenger,184,1951-09-01
airlines,passenger,162,1951-10-01
airlines,passenger,146,1951-11-01
airlines,passenger,166,1951-12-01
airlines,passenger,171,1952-01-01
airlines,passenger,180,1952-02-01
airlines,passenger,193,1952-03-01
airlines,passenger,181,1952-04-01
airlines,passenger,183,1952-05-01
airlines,passenger,218,1952-06-01
airlines,passenger,230,1952-07-01
airlines,passenger,242,1952-08-01
airlines,passenger,209,1952-09-01
airlines,passenger,191,1952-10-01
airlines,passenger,172,1952-11-01
airlines,passenger,194,1952-12-01
airlines,passenger,196,1953-01-01
airlines,passenger,196,1953-02-01
airlines,passenger,236,1953-03-01
airlines,passenger,235,1953-04-01
airlines,passenger,229,1953-05-01
airlines,passenger,243,1953-06-01
airlines,passenger,264,1953-07-01
airlines,passenger,272,1953-08-01
airlines,passenger,237,1953-09-01
airlines,passenger,211,1953-10-01
airlines,passenger,180,1953-11-01
airlines,passenger,201,1953-12-01
airlines,passenger,204,1954-01-01
airlines,passenger,188,1954-02-01
airlines,passenger,235,1954-03-01
airlines,passenger,227,1954-04-01
airlines,passenger,234,1954-05-01
airlines,passenger,264,1954-06-01
airlines,passenger,302,1954-07-01
airlines,passenger,293,1954-08-01
airlines,passenger,259,1954-09-01
airlines,passenger,229,1954-10-01
airlines,passenger,203,1954-11-01
airlines,passenger,229,1954-12-01
airlines,passenger,242,1955-01-01
airlines,passenger,233,1955-02-01
airlines,passenger,267,1955-03-01
airlines,passenger,269,1955-04-01
airlines,passenger,270,1955-05-01
airlines,passenger,315,1955-06-01
airlines,passenger,364,1955-07-01
airlines,passenger,347,1955-08-01
airlines,passenger,312,1955-09-01
airlines,passenger,274,1955-10-01
airlines,passenger,237,1955-11-01
airlines,passenger,278,1955-12-01
airlines,passenger,284,1956-01-01
airlines,passenger,277,1956-02-01
airlines,passenger,317,1956-03-01
airlines,passenger,313,1956-04-01
airlines,passenger,318,1956-05-01
airlines,passenger,374,1956-06-01
airlines,passenger,413,1956-07-01
airlines,passenger,405,1956-08-01
airlines,passenger,355,1956-09-01
airlines,passenger,306,1956-10-01
airlines,passenger,271,1956-11-01
airlines,passenger,306,1956-12-01
airlines,passenger,315,1957-01-01
airlines,passenger,301,1957-02-01
airlines,passenger,356,1957-03-01
airlines,passenger,348,1957-04-01
airlines,passenger,355,1957-05-01
airlines,passenger,422,1957-06-01
airlines,passenger,465,1957-07-01
airlines,passenger,467,1957-08-01
airlines,passenger,404,1957-09-01
airlines,passenger,347,1957-10-01
airlines,passenger,305,1957-11-01
airlines,passenger,336,1957-12-01
airlines,passenger,340,1958-01-01
airlines,passenger,318,1958-02-01
airlines,passenger,362,1958-03-01
airlines,passenger,348,1958-04-01
airlines,passenger,363,1958-05-01
airlines,passenger,435,1958-06-01
airlines,passenger,491,1958-07-01
airlines,passenger,505,1958-08-01
airlines,passenger,404,1958-09-01
airlines,passenger,359,1958-10-01
airlines,passenger,310,1958-11-01
airlines,passenger,337,1958-12-01
airlines,passenger,360,1959-01-01
airlines,passenger,342,1959-02-01
airlines,passenger,406,1959-03-01
airlines,passenger,396,1959-04-01
airlines,passenger,420,1959-05-01
airlines,passenger,472,1959-06-01
airlines,passenger,548,1959-07-01
airlines,passenger,559,1959-08-01
airlines,passenger,463,1959-09-01
airlines,passenger,407,1959-10-01
airlines,passenger,362,1959-11-01
airlines,passenger,405,1959-12-01
airlines,passenger,417,1960-01-01
airlines,passenger,391,1960-02-01
airlines,passenger,419,1960-03-01
airlines,passenger,461,1960-04-01
airlines,passenger,472,1960-05-01
airlines,passenger,535,1960-06-01
airlines,passenger,622,1960-07-01
airlines,passenger,606,1960-08-01
airlines,passenger,508,1960-09-01
airlines,passenger,461,1960-10-01
airlines,passenger,390,1960-11-01
airlines,passenger,432,1960-12-01
