category,product_name,quantity,Date
beer,production,13,1970-01-01
beer,production,12,1970-02-01
beer,production,12,1970-03-01
beer,production,11,1970-04-01
beer,production,9,1970-05-01
beer,production,10,1970-06-01
beer,production,10,1970-07-01
beer,production,9,1970-08-01
beer,production,12,1970-09-01
beer,production,12,1970-10-01
beer,production,12,1970-11-01
beer,production,13,1970-12-01
beer,production,12,1971-01-01
beer,production,11,1971-02-01
beer,production,11,1971-03-01
beer,production,10,1971-04-01
beer,production,9,1971-05-01
beer,production,10,1971-06-01
beer,production,10,1971-07-01
beer,production,9,1971-08-01
beer,production,13,1971-09-01
beer,production,12,1971-10-01
beer,production,12,1971-11-01
beer,production,14,1971-12-01
beer,production,13,1972-01-01
beer,production,12,1972-02-01
beer,production,11,1972-03-01
beer,production,11,1972-04-01
beer,production,10,1972-05-01
beer,production,10,1972-06-01
beer,production,10,1972-07-01
beer,production,10,1972-08-01
beer,production,13,1972-09-01
beer,production,13,1972-10-01
beer,production,13,1972-11-01
beer,production,14,1972-12-01
beer,production,13,1973-01-01
beer,production,13,1973-02-01
beer,production,11,1973-03-01
beer,production,11,1973-04-01
beer,production,10,1973-05-01
beer,production,10,1973-06-01
beer,production,11,1973-07-01
beer,production,11,1973-08-01
beer,production,13,1973-09-01
beer,production,13,1973-10-01
beer,production,14,1973-11-01
beer,production,13,1973-12-01
beer,production,14,1974-01-01
beer,production,14,1974-02-01
beer,production,12,1974-03-01
beer,production,12,1974-04-01
beer,production,11,1974-05-01
beer,production,11,1974-06-01
beer,production,12,1974-07-01
beer,production,11,1974-08-01
beer,production,13,1974-09-01
beer,production,13,1974-10-01
beer,production,15,1974-11-01
beer,production,15,1974-12-01
beer,production,16,1975-01-01
beer,production,15,1975-02-01
beer,production,13,1975-03-01
beer,production,12,1975-04-01
beer,production,11,1975-05-01
beer,production,11,1975-06-01
beer,production,13,1975-07-01
beer,production,11,1975-08-01
beer,production,12,1975-09-01
beer,production,14,1975-10-01
beer,production,14,1975-11-01
beer,production,16,1975-12-01
beer,production,16,1976-01-01
beer,production,15,1976-02-01
beer,production,13,1976-03-01
beer,production,12,1976-04-01
beer,production,11,1976-05-01
beer,production,12,1976-06-01
beer,production,12,1976-07-01
beer,production,12,1976-08-01
beer,production,12,1976-09-01
beer,production,14,1976-10-01
beer,production,15,1976-11-01
beer,production,16,1976-12-01
beer,production,17,1977-01-01
beer,production,16,1977-02-01
beer,production,14,1977-03-01
beer,production,13,1977-04-01
beer,production,11,1977-05-01
beer,production,11,1977-06-01
beer,production,12,1977-07-01
beer,production,11,1977-08-01
beer,production,16,1977-09-01
beer,production,16,1977-10-01
beer,production,17,1977-11-01
beer,production,17,1977-12-01
