category,product_name,quantity,date
US Candy,candy,86,1972-01-01
US Candy,candy,72,1972-02-01
US Candy,candy,66,1972-03-01
US Candy,candy,65,1972-04-01
US Candy,candy,65,1972-05-01
US Candy,candy,68,1972-06-01
US Candy,candy,69,1972-07-01
US Candy,candy,71,1972-08-01
US Candy,candy,75,1972-09-01
US Candy,candy,107,1972-10-01
US Candy,candy,106,1972-11-01
US Candy,candy,106,1972-12-01
US Candy,candy,91,1973-01-01
US Candy,candy,77,1973-02-01
US Candy,candy,70,1973-03-01
US Candy,candy,70,1973-04-01
US Candy,candy,72,1973-05-01
US Candy,candy,75,1973-06-01
US Candy,candy,72,1973-07-01
US Candy,candy,73,1973-08-01
US Candy,candy,81,1973-09-01
US Candy,candy,103,1973-10-01
US Candy,candy,109,1973-11-01
US Candy,candy,105,1973-12-01
US Candy,candy,89,1974-01-01
US Candy,candy,84,1974-02-01
US Candy,candy,77,1974-03-01
US Candy,candy,67,1974-04-01
US Candy,candy,75,1974-05-01
US Candy,candy,80,1974-06-01
US Candy,candy,66,1974-07-01
US Candy,candy,71,1974-08-01
US Candy,candy,70,1974-09-01
US Candy,candy,99,1974-10-01
US Candy,candy,101,1974-11-01
US Candy,candy,87,1974-12-01
US Candy,candy,67,1975-01-01
US Candy,candy,53,1975-02-01
US Candy,candy,51,1975-03-01
US Candy,candy,60,1975-04-01
US Candy,candy,61,1975-05-01
US Candy,candy,63,1975-06-01
US Candy,candy,62,1975-07-01
US Candy,candy,67,1975-08-01
US Candy,candy,66,1975-09-01
US Candy,candy,96,1975-10-01
US Candy,candy,106,1975-11-01
US Candy,candy,102,1975-12-01
US Candy,candy,88,1976-01-01
US Candy,candy,75,1976-02-01
US Candy,candy,62,1976-03-01
US Candy,candy,64,1976-04-01
US Candy,candy,71,1976-05-01
US Candy,candy,68,1976-06-01
US Candy,candy,69,1976-07-01
US Candy,candy,72,1976-08-01
US Candy,candy,77,1976-09-01
US Candy,candy,108,1976-10-01
US Candy,candy,112,1976-11-01
US Candy,candy,114,1976-12-01
US Candy,candy,97,1977-01-01
US Candy,candy,90,1977-02-01
US Candy,candy,77,1977-03-01
US Candy,candy,76,1977-04-01
US Candy,candy,78,1977-05-01
US Candy,candy,78,1977-06-01
US Candy,candy,76,1977-07-01
US Candy,candy,78,1977-08-01
US Candy,candy,84,1977-09-01
US Candy,candy,109,1977-10-01
US Candy,candy,106,1977-11-01
US Candy,candy,113,1977-12-01
US Candy,candy,90,1978-01-01
US Candy,candy,80,1978-02-01
US Candy,candy,76,1978-03-01
US Candy,candy,77,1978-04-01
US Candy,candy,77,1978-05-01
US Candy,candy,78,1978-06-01
US Candy,candy,72,1978-07-01
US Candy,candy,76,1978-08-01
US Candy,candy,83,1978-09-01
US Candy,candy,105,1978-10-01
US Candy,candy,112,1978-11-01
US Candy,candy,114,1978-12-01
US Candy,candy,99,1979-01-01
US Candy,candy,85,1979-02-01
US Candy,candy,81,1979-03-01
US Candy,candy,77,1979-04-01
US Candy,candy,78,1979-05-01
US Candy,candy,81,1979-06-01
US Candy,candy,75,1979-07-01
US Candy,candy,77,1979-08-01
US Candy,candy,81,1979-09-01
US Candy,candy,101,1979-10-01
US Candy,candy,107,1979-11-01
US Candy,candy,106,1979-12-01
US Candy,candy,87,1980-01-01
US Candy,candy,84,1980-02-01
US Candy,candy,74,1980-03-01
US Candy,candy,66,1980-04-01
US Candy,candy,74,1980-05-01
US Candy,candy,77,1980-06-01
US Candy,candy,71,1980-07-01
US Candy,candy,77,1980-08-01
US Candy,candy,78,1980-09-01
US Candy,candy,101,1980-10-01
US Candy,candy,107,1980-11-01
US Candy,candy,107,1980-12-01
US Candy,candy,96,1981-01-01
US Candy,candy,90,1981-02-01
US Candy,candy,78,1981-03-01
US Candy,candy,78,1981-04-01
US Candy,candy,83,1981-05-01
US Candy,candy,83,1981-06-01
US Candy,candy,79,1981-07-01
US Candy,candy,82,1981-08-01
US Candy,candy,83,1981-09-01
US Candy,candy,118,1981-10-01
US Candy,candy,117,1981-11-01
US Candy,candy,113,1981-12-01
US Candy,candy,96,1982-01-01
US Candy,candy,93,1982-02-01
US Candy,candy,83,1982-03-01
US Candy,candy,74,1982-04-01
US Candy,candy,76,1982-05-01
US Candy,candy,79,1982-06-01
US Candy,candy,76,1982-07-01
US Candy,candy,78,1982-08-01
US Candy,candy,81,1982-09-01
US Candy,candy,114,1982-10-01
US Candy,candy,115,1982-11-01
US Candy,candy,115,1982-12-01
US Candy,candy,95,1983-01-01
US Candy,candy,87,1983-02-01
US Candy,candy,78,1983-03-01
US Candy,candy,74,1983-04-01
US Candy,candy,76,1983-05-01
US Candy,candy,75,1983-06-01
US Candy,candy,76,1983-07-01
US Candy,candy,80,1983-08-01
US Candy,candy,83,1983-09-01
US Candy,candy,110,1983-10-01
US Candy,candy,107,1983-11-01
US Candy,candy,104,1983-12-01
US Candy,candy,94,1984-01-01
US Candy,candy,86,1984-02-01
US Candy,candy,79,1984-03-01
US Candy,candy,76,1984-04-01
US Candy,candy,78,1984-05-01
US Candy,candy,78,1984-06-01
US Candy,candy,77,1984-07-01
US Candy,candy,81,1984-08-01
US Candy,candy,86,1984-09-01
US Candy,candy,112,1984-10-01
US Candy,candy,116,1984-11-01
US Candy,candy,113,1984-12-01
US Candy,candy,98,1985-01-01
US Candy,candy,87,1985-02-01
US Candy,candy,79,1985-03-01
US Candy,candy,76,1985-04-01
US Candy,candy,77,1985-05-01
US Candy,candy,76,1985-06-01
US Candy,candy,75,1985-07-01
US Candy,candy,80,1985-08-01
US Candy,candy,90,1985-09-01
US Candy,candy,112,1985-10-01
US Candy,candy,114,1985-11-01
