category,product_name,quantity,Month
cow,milk,589,1962-01-01
cow,milk,561,1962-02-01
cow,milk,640,1962-03-01
cow,milk,656,1962-04-01
cow,milk,727,1962-05-01
cow,milk,697,1962-06-01
cow,milk,640,1962-07-01
cow,milk,599,1962-08-01
cow,milk,568,1962-09-01
cow,milk,577,1962-10-01
cow,milk,553,1962-11-01
cow,milk,582,1962-12-01
cow,milk,600,1963-01-01
cow,milk,566,1963-02-01
cow,milk,653,1963-03-01
cow,milk,673,1963-04-01
cow,milk,742,1963-05-01
cow,milk,716,1963-06-01
cow,milk,660,1963-07-01
cow,milk,617,1963-08-01
cow,milk,583,1963-09-01
cow,milk,587,1963-10-01
cow,milk,565,1963-11-01
cow,milk,598,1963-12-01
cow,milk,628,1964-01-01
cow,milk,618,1964-02-01
cow,milk,688,1964-03-01
cow,milk,705,1964-04-01
cow,milk,770,1964-05-01
cow,milk,736,1964-06-01
cow,milk,678,1964-07-01
cow,milk,639,1964-08-01
cow,milk,604,1964-09-01
cow,milk,611,1964-10-01
cow,milk,594,1964-11-01
cow,milk,634,1964-12-01
cow,milk,658,1965-01-01
cow,milk,622,1965-02-01
cow,milk,709,1965-03-01
cow,milk,722,1965-04-01
cow,milk,782,1965-05-01
cow,milk,756,1965-06-01
cow,milk,702,1965-07-01
cow,milk,653,1965-08-01
cow,milk,615,1965-09-01
cow,milk,621,1965-10-01
cow,milk,602,1965-11-01
cow,milk,635,1965-12-01
cow,milk,677,1966-01-01
cow,milk,635,1966-02-01
cow,milk,736,1966-03-01
cow,milk,755,1966-04-01
cow,milk,811,1966-05-01
cow,milk,798,1966-06-01
cow,milk,735,1966-07-01
cow,milk,697,1966-08-01
cow,milk,661,1966-09-01
cow,milk,667,1966-10-01
cow,milk,645,1966-11-01
cow,milk,688,1966-12-01
cow,milk,713,1967-01-01
cow,milk,667,1967-02-01
cow,milk,762,1967-03-01
cow,milk,784,1967-04-01
cow,milk,837,1967-05-01
cow,milk,817,1967-06-01
cow,milk,767,1967-07-01
cow,milk,722,1967-08-01
cow,milk,681,1967-09-01
cow,milk,687,1967-10-01
cow,milk,660,1967-11-01
cow,milk,698,1967-12-01
cow,milk,717,1968-01-01
cow,milk,696,1968-02-01
cow,milk,775,1968-03-01
cow,milk,796,1968-04-01
cow,milk,858,1968-05-01
cow,milk,826,1968-06-01
cow,milk,783,1968-07-01
cow,milk,740,1968-08-01
cow,milk,701,1968-09-01
cow,milk,706,1968-10-01
cow,milk,677,1968-11-01
cow,milk,711,1968-12-01
cow,milk,734,1969-01-01
cow,milk,690,1969-02-01
cow,milk,785,1969-03-01
cow,milk,805,1969-04-01
cow,milk,871,1969-05-01
cow,milk,845,1969-06-01
cow,milk,801,1969-07-01
cow,milk,764,1969-08-01
cow,milk,725,1969-09-01
cow,milk,723,1969-10-01
cow,milk,690,1969-11-01
cow,milk,734,1969-12-01
cow,milk,750,1970-01-01
cow,milk,707,1970-02-01
cow,milk,807,1970-03-01
cow,milk,824,1970-04-01
cow,milk,886,1970-05-01
cow,milk,859,1970-06-01
cow,milk,819,1970-07-01
cow,milk,783,1970-08-01
cow,milk,740,1970-09-01
cow,milk,747,1970-10-01
cow,milk,711,1970-11-01
cow,milk,751,1970-12-01
cow,milk,804,1971-01-01
cow,milk,756,1971-02-01
cow,milk,860,1971-03-01
cow,milk,878,1971-04-01
cow,milk,942,1971-05-01
cow,milk,913,1971-06-01
cow,milk,869,1971-07-01
cow,milk,834,1971-08-01
cow,milk,790,1971-09-01
cow,milk,800,1971-10-01
cow,milk,763,1971-11-01
cow,milk,800,1971-12-01
cow,milk,826,1972-01-01
cow,milk,799,1972-02-01
cow,milk,890,1972-03-01
cow,milk,900,1972-04-01
cow,milk,961,1972-05-01
cow,milk,935,1972-06-01
cow,milk,894,1972-07-01
cow,milk,855,1972-08-01
cow,milk,809,1972-09-01
cow,milk,810,1972-10-01
cow,milk,766,1972-11-01
cow,milk,805,1972-12-01
cow,milk,821,1973-01-01
cow,milk,773,1973-02-01
cow,milk,883,1973-03-01
cow,milk,898,1973-04-01
cow,milk,957,1973-05-01
cow,milk,924,1973-06-01
cow,milk,881,1973-07-01
cow,milk,837,1973-08-01
cow,milk,784,1973-09-01
cow,milk,791,1973-10-01
cow,milk,760,1973-11-01
cow,milk,802,1973-12-01
cow,milk,828,1974-01-01
cow,milk,778,1974-02-01
cow,milk,889,1974-03-01
cow,milk,902,1974-04-01
cow,milk,969,1974-05-01
cow,milk,947,1974-06-01
cow,milk,908,1974-07-01
cow,milk,867,1974-08-01
cow,milk,815,1974-09-01
cow,milk,812,1974-10-01
cow,milk,773,1974-11-01
cow,milk,813,1974-12-01
cow,milk,834,1975-01-01
cow,milk,782,1975-02-01
cow,milk,892,1975-03-01
cow,milk,903,1975-04-01
cow,milk,966,1975-05-01
cow,milk,937,1975-06-01
cow,milk,896,1975-07-01
cow,milk,858,1975-08-01
cow,milk,817,1975-09-01
cow,milk,827,1975-10-01
cow,milk,797,1975-11-01
cow,milk,843,1975-12-01
