category,product_name,quantity,date
car,quebec,6550,1960-01-01
car,quebec,8728,1960-02-01
car,quebec,12026,1960-03-01
car,quebec,14395,1960-04-01
car,quebec,14587,1960-05-01
car,quebec,13791,1960-06-01
car,quebec,9498,1960-07-01
car,quebec,8251,1960-08-01
car,quebec,7049,1960-09-01
car,quebec,9545,1960-10-01
car,quebec,9364,1960-11-01
car,quebec,8456,1960-12-01
car,quebec,7237,1961-01-01
car,quebec,9374,1961-02-01
car,quebec,11837,1961-03-01
car,quebec,13784,1961-04-01
car,quebec,15926,1961-05-01
car,quebec,13821,1961-06-01
car,quebec,11143,1961-07-01
car,quebec,7975,1961-08-01
car,quebec,7610,1961-09-01
car,quebec,10015,1961-10-01
car,quebec,12759,1961-11-01
car,quebec,8816,1961-12-01
car,quebec,10677,1962-01-01
car,quebec,10947,1962-02-01
car,quebec,15200,1962-03-01
car,quebec,17010,1962-04-01
car,quebec,20900,1962-05-01
car,quebec,16205,1962-06-01
car,quebec,12143,1962-07-01
car,quebec,8997,1962-08-01
car,quebec,5568,1962-09-01
car,quebec,11474,1962-10-01
car,quebec,12256,1962-11-01
car,quebec,10583,1962-12-01
car,quebec,10862,1963-01-01
car,quebec,10965,1963-02-01
car,quebec,14405,1963-03-01
car,quebec,20379,1963-04-01
car,quebec,20128,1963-05-01
car,quebec,17816,1963-06-01
car,quebec,12268,1963-07-01
car,quebec,8642,1963-08-01
car,quebec,7962,1963-09-01
car,quebec,13932,1963-10-01
car,quebec,15936,1963-11-01
car,quebec,12628,1963-12-01
car,quebec,12267,1964-01-01
car,quebec,12470,1964-02-01
car,quebec,18944,1964-03-01
car,quebec,21259,1964-04-01
car,quebec,22015,1964-05-01
car,quebec,18581,1964-06-01
car,quebec,15175,1964-07-01
car,quebec,10306,1964-08-01
car,quebec,10792,1964-09-01
car,quebec,14752,1964-10-01
car,quebec,13754,1964-11-01
car,quebec,11738,1964-12-01
car,quebec,12181,1965-01-01
car,quebec,12965,1965-02-01
car,quebec,19990,1965-03-01
car,quebec,23125,1965-04-01
car,quebec,23541,1965-05-01
car,quebec,21247,1965-06-01
car,quebec,15189,1965-07-01
car,quebec,14767,1965-08-01
car,quebec,10895,1965-09-01
car,quebec,17130,1965-10-01
car,quebec,17697,1965-11-01
car,quebec,16611,1965-12-01
car,quebec,12674,1966-01-01
car,quebec,12760,1966-02-01
car,quebec,20249,1966-03-01
car,quebec,22135,1966-04-01
car,quebec,20677,1966-05-01
car,quebec,19933,1966-06-01
car,quebec,15388,1966-07-01
car,quebec,15113,1966-08-01
car,quebec,13401,1966-09-01
car,quebec,16135,1966-10-01
car,quebec,17562,1966-11-01
car,quebec,14720,1966-12-01
car,quebec,12225,1967-01-01
car,quebec,11608,1967-02-01
car,quebec,20985,1967-03-01
car,quebec,19692,1967-04-01
car,quebec,24081,1967-05-01
car,quebec,22114,1967-06-01
car,quebec,14220,1967-07-01
car,quebec,13434,1967-08-01
car,quebec,13598,1967-09-01
car,quebec,17187,1967-10-01
car,quebec,16119,1967-11-01
car,quebec,13713,1967-12-01
car,quebec,13210,1968-01-01
car,quebec,14251,1968-02-01
car,quebec,20139,1968-03-01
car,quebec,21725,1968-04-01
car,quebec,26099,1968-05-01
car,quebec,21084,1968-06-01
car,quebec,18024,1968-07-01
car,quebec,16722,1968-08-01
car,quebec,14385,1968-09-01
car,quebec,21342,1968-10-01
car,quebec,17180,1968-11-01
car,quebec,14577,1968-12-01
