category,product_name,sales,date
retail/trade,department store,10306,1992-01-01
retail/trade,department store,11251,1992-02-01
retail/trade,department store,12917,1992-03-01
retail/trade,department store,13461,1992-04-01
retail/trade,department store,14286,1992-05-01
retail/trade,department store,13354,1992-06-01
retail/trade,department store,13101,1992-07-01
retail/trade,department store,14783,1992-08-01
retail/trade,department store,13323,1992-09-01
retail/trade,department store,14961,1992-10-01
retail/trade,department store,18128,1992-11-01
retail/trade,department store,27218,1992-12-01
retail/trade,department store,11164,1993-01-01
retail/trade,department store,11300,1993-02-01
retail/trade,department store,13411,1993-03-01
retail/trade,department store,14245,1993-04-01
retail/trade,department store,15110,1993-05-01
retail/trade,department store,14345,1993-06-01
retail/trade,department store,14348,1993-07-01
retail/trade,department store,15461,1993-08-01
retail/trade,department store,14478,1993-09-01
retail/trade,department store,15971,1993-10-01
retail/trade,department store,19064,1993-11-01
retail/trade,department store,28788,1993-12-01
retail/trade,department store,11666,1994-01-01
retail/trade,department store,12160,1994-02-01
retail/trade,department store,15196,1994-03-01
retail/trade,department store,14901,1994-04-01
retail/trade,department store,15504,1994-05-01
retail/trade,department store,15622,1994-06-01
retail/trade,department store,15036,1994-07-01
retail/trade,department store,16426,1994-08-01
retail/trade,department store,15248,1994-09-01
retail/trade,department store,16680,1994-10-01
retail/trade,department store,20226,1994-11-01
retail/trade,department store,30280,1994-12-01
retail/trade,department store,12260,1995-01-01
retail/trade,department store,12603,1995-02-01
retail/trade,department store,15448,1995-03-01
retail/trade,department store,15729,1995-04-01
retail/trade,department store,16337,1995-05-01
retail/trade,department store,16399,1995-06-01
retail/trade,department store,15922,1995-07-01
retail/trade,department store,17050,1995-08-01
retail/trade,department store,15981,1995-09-01
retail/trade,department store,16574,1995-10-01
retail/trade,department store,21138,1995-11-01
retail/trade,department store,30479,1995-12-01
retail/trade,department store,12299,1996-01-01
retail/trade,department store,13768,1996-02-01
retail/trade,department store,15808,1996-03-01
retail/trade,department store,15957,1996-04-01
retail/trade,department store,17454,1996-05-01
retail/trade,department store,16655,1996-06-01
retail/trade,department store,15768,1996-07-01
retail/trade,department store,17932,1996-08-01
retail/trade,department store,16092,1996-09-01
retail/trade,department store,17462,1996-10-01
retail/trade,department store,21389,1996-11-01
